contour_0
1708,2087
1708,2086
1711,2083
1711,2082
1715,2078
1715,2077
1717,2075
1717,2073
1718,2072
1718,2071
1721,2068
1721,2067
1723,2065
1723,2063
1725,2062
1725,2061
1726,2060
1726,2058
1728,2056
1728,2055
1730,2053
1730,2052
1731,2051
1731,2050
1733,2047
1733,2045
1735,2043
1735,2042
1736,2041
1736,2040
1737,2038
1737,2037
1738,2036
1738,2035
1740,2033
1740,2032
1743,2028
1743,2026
1745,2025
1745,2023
1747,2021
1747,2020
1748,2018
1748,2015
1751,2012
1751,2011
1752,2010
1752,2008
1753,2007
1753,2005
1756,2002
1756,2001
1757,2000
1757,1997
1758,1996
1758,1995
1760,1993
1760,1992
1761,1991
1761,1988
1762,1987
1762,1985
1763,1983
1763,1982
1765,1981
1765,1980
1766,1978
1766,1975
1767,1973
1767,1972
1768,1971
1768,1970
1770,1968
1770,1966
1771,1965
1771,1961
1773,1958
1773,1957
1775,1956
1775,1951
1776,1950
1776,1947
1777,1946
1777,1945
1778,1943
1778,1940
1780,1938
1780,1935
1781,1933
1781,1932
1782,1931
1782,1928
1783,1927
1783,1922
1785,1921
1785,1917
1786,1916
1786,1913
1787,1912
1787,1908
1788,1907
1788,1902
1790,1901
1790,1898
1791,1897
1791,1891
1792,1890
1792,1887
1793,1886
1793,1883
1795,1882
1795,1876
1796,1875
1796,1870
1797,1868
1797,1863
1798,1862
1798,1853
1800,1852
1800,1838
1801,1837
1801,1833
1802,1832
1802,1681
1801,1680
1801,1677
1800,1676
1800,1672
1793,1666
1792,1666
1790,1663
1788,1663
1787,1662
1786,1662
1785,1661
1783,1661
1782,1660
1781,1660
1780,1658
1778,1658
1776,1656
1773,1656
1771,1653
1768,1653
1767,1652
1766,1652
1765,1651
1762,1651
1761,1650
1760,1650
1758,1648
1756,1648
1755,1647
1753,1647
1752,1646
1751,1646
1748,1643
1746,1643
1745,1642
1743,1642
1742,1641
1741,1641
1740,1640
1737,1640
1736,1638
1735,1638
1732,1636
1731,1636
1730,1635
1727,1635
1726,1633
1725,1633
1722,1631
1721,1631
1720,1630
1716,1630
1715,1628
1713,1628
1711,1626
1708,1626
1707,1625
1706,1625
1705,1623
1703,1623
1702,1622
1701,1622
1700,1621
1697,1621
1696,1620
1695,1620
1692,1617
1690,1617
1688,1616
1686,1616
1685,1615
1683,1615
1682,1613
1681,1613
1680,1612
1678,1612
1677,1611
1676,1611
1675,1610
1673,1610
1672,1608
1671,1608
1670,1607
1666,1607
1665,1606
1663,1606
1661,1603
1657,1603
1656,1602
1655,1602
1653,1601
1652,1601
1651,1600
1650,1600
1648,1598
1647,1598
1646,1597
1645,1597
1643,1596
1642,1596
1641,1595
1638,1595
1637,1593
1636,1593
1635,1592
1633,1592
1632,1591
1630,1591
1628,1590
1627,1590
1626,1588
1625,1588
1623,1587
1621,1587
1620,1586
1618,1586
1617,1585
1616,1585
1613,1582
1610,1582
1608,1581
1607,1581
1605,1578
1602,1578
1601,1577
1598,1577
1596,1575
1595,1575
1593,1573
1592,1573
1591,1572
1588,1572
1586,1570
1585,1570
1583,1568
1578,1568
1577,1567
1576,1567
1573,1565
1572,1565
1571,1563
1568,1563
1566,1561
1565,1561
1563,1560
1561,1560
1560,1558
1558,1558
1557,1557
1556,1557
1555,1556
1552,1556
1551,1555
1548,1555
1547,1553
1546,1553
1545,1552
1543,1552
1542,1551
1540,1551
1538,1550
1537,1550
1536,1548
1535,1548
1533,1547
1532,1547
1531,1546
1530,1546
1528,1545
1527,1545
1526,1543
1525,1543
1523,1542
1521,1542
1520,1541
1518,1541
1517,1540
1516,1540
1515,1538
1513,1538
1512,1537
1511,1537
1510,1536
1508,1536
1506,1533
1505,1533
1503,1532
1502,1532
1501,1531
1498,1531
1496,1528
1495,1528
1492,1526
1491,1526
1488,1523
1487,1523
1483,1520
1482,1520
1480,1517
1478,1517
1475,1513
1473,1513
1453,1493
1453,1492
1448,1487
1448,1486
1447,1485
1447,1483
1443,1480
1443,1478
1442,1477
1442,1476
1440,1473
1440,1472
1437,1470
1437,1468
1436,1467
1436,1466
1435,1465
1435,1463
1433,1462
1433,1461
1432,1460
1432,1458
1431,1457
1431,1456
1430,1455
1430,1453
1428,1452
1428,1451
1427,1450
1427,1448
1426,1447
1426,1445
1425,1443
1425,1442
1423,1441
1423,1440
1422,1438
1422,1436
1421,1435
1421,1428
1420,1427
1420,1371
1421,1370
1421,1360
1422,1358
1422,1348
1423,1347
1423,1346
1425,1345
1425,1338
1426,1337
1426,1328
1427,1327
1427,1326
1428,1325
1428,1323
1430,1322
1430,1317
1431,1316
1431,1312
1432,1311
1432,1308
1433,1307
1433,1306
1435,1305
1435,1302
1436,1301
1436,1300
1437,1298
1437,1296
1438,1295
1438,1292
1441,1290
1441,1288
1442,1287
1442,1286
1445,1283
1445,1282
1446,1281
1446,1280
1447,1278
1447,1277
1452,1272
1452,1271
1456,1267
1456,1266
1467,1255
1468,1255
1482,1241
1482,1240
1486,1236
1486,1235
1488,1232
1488,1231
1491,1228
1491,1226
1492,1225
1492,1223
1493,1222
1493,1220
1495,1218
1495,1217
1496,1216
1496,1211
1497,1210
1497,1205
1498,1203
1498,1197
1500,1196
1500,1188
1501,1187
1501,1172
1502,1171
1502,1165
1501,1163
1501,1160
1500,1158
1500,1156
1498,1155
1498,1152
1496,1150
1496,1148
1492,1145
1490,1145
1488,1143
1487,1143
1483,1140
1483,1138
1482,1137
1482,1130
1481,1128
1481,1103
1480,1102
